game_date_time,home_team,away_team,home_score,away_score,score_difference,home_hits,home_bb,home_homeruns,home_stolenbases,home_strikeouts,home_doubleplays,home_errors,away_hits,away_bb,away_homeruns,away_stolenbases,away_strikeouts,away_doubleplays,away_errors,home_pitching,away_pitching,win,home_starter,away_starter
2021-04-17,LG,두산,1,3,2,4.0,4.0,1.0,0.0,7.0,1.0,0.0,10.0,3.0,0.0,1.0,11.0,1.0,0.0,12.02,1.76,2,수아레즈,최원준
2021-04-17,롯데,삼성,0,12,12,4.0,4.0,0.0,0.0,8.0,2.0,1.0,17.0,8.0,1.0,3.0,5.0,1.0,1.0,22.96,5.17,2,프랑코,백정현
2021-04-17,KT,키움,8,5,3,10.0,10.0,0.0,0.0,11.0,1.0,1.0,9.0,7.0,0.0,1.0,8.0,2.0,1.0,29.89,27.990000000000002,1,데스파이네,안우진
2021-04-18,NC,한화,3,11,8,5.0,7.0,2.0,0.0,8.0,0.0,0.0,11.0,6.0,4.0,0.0,7.0,1.0,1.0,26.03,4.109999999999999,2,이재학,카펜터
2021-04-18,SSG,KIA,4,2,2,5.0,7.0,2.0,0.0,7.0,1.0,1.0,4.0,10.0,0.0,0.0,6.0,0.0,0.0,13.620000000000001,32.45,1,폰트,남재현
2021-04-18,LG,두산,1,9,8,8.0,5.0,1.0,0.0,9.0,0.0,2.0,16.0,5.0,0.0,1.0,12.0,1.0,1.0,28.939999999999998,16.060000000000002,2,이민호,미란다
2021-04-18,롯데,삼성,0,7,7,4.0,2.0,0.0,0.0,11.0,0.0,0.0,9.0,4.0,2.0,0.0,1.0,1.0,0.0,20.28,6.4,2,박세웅,원태인
2021-04-18,KT,키움,10,2,8,14.0,6.0,0.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,0.0,8.0,0.0,3.0,6.88,26.37,1,고영표,최원태
2021-04-20,LG,KIA,3,6,3,9.0,8.0,1.0,0.0,3.0,4.0,3.0,9.0,8.0,2.0,2.0,10.0,0.0,0.0,18.84,25.009999999999998,2,정찬헌,브룩스
2021-04-20,NC,KT,2,5,3,5.0,5.0,1.0,0.0,8.0,0.0,1.0,10.0,9.0,0.0,2.0,8.0,1.0,0.0,33.53,34.410000000000004,2,파슨스,배제성
2021-04-20,롯데,두산,10,5,5,10.0,8.0,3.0,0.0,3.0,1.0,1.0,11.0,3.0,3.0,0.0,9.0,0.0,1.0,18.43,10.42,1,노경은,이영하
2021-04-20,삼성,SSG,7,10,3,12.0,3.0,3.0,2.0,8.0,0.0,1.0,12.0,4.0,3.0,0.0,13.0,0.0,2.0,29.05,22.2,2,이승민,문승원
2021-04-20,한화,키움,7,3,4,8.0,3.0,0.0,1.0,6.0,2.0,1.0,7.0,3.0,1.0,1.0,11.0,0.0,2.0,11.969999999999999,14.37,1,킹험,김정인
2021-04-21,LG,KIA,7,3,4,4.0,6.0,2.0,0.0,7.0,0.0,1.0,10.0,5.0,0.0,1.0,6.0,1.0,1.0,15.78,31.42,1,함덕주,김유신
2021-04-21,NC,KT,4,3,1,9.0,3.0,0.0,1.0,4.0,1.0,0.0,8.0,6.0,1.0,0.0,5.0,0.0,1.0,32.550000000000004,11.16,1,김영규,쿠에바스
2021-04-21,롯데,두산,10,9,1,13.0,9.0,2.0,1.0,5.0,1.0,0.0,12.0,3.0,4.0,0.0,10.0,0.0,0.0,35.19,20.0,1,김진욱,유희관
2021-04-21,삼성,SSG,14,4,10,15.0,11.0,3.0,1.0,4.0,0.0,0.0,11.0,6.0,0.0,0.0,6.0,0.0,4.0,20.37,61.6,1,뷰캐넌,이건욱
2021-04-21,한화,키움,4,3,1,13.0,5.0,0.0,0.0,6.0,1.0,1.0,7.0,9.0,0.0,0.0,10.0,0.0,1.0,11.9,14.88,1,김민우,요키시
2021-04-22,LG,KIA,2,3,1,7.0,8.0,1.0,3.0,6.0,0.0,0.0,5.0,11.0,1.0,2.0,7.0,1.0,0.0,14.58,12.08,2,켈리,이의리
2021-04-22,NC,KT,5,11,6,9.0,4.0,3.0,0.0,6.0,1.0,1.0,13.0,3.0,1.0,0.0,8.0,0.0,1.0,18.2,26.08,2,루친스키,데스파이네
2021-04-22,롯데,두산,1,13,12,5.0,3.0,0.0,0.0,9.0,2.0,4.0,18.0,4.0,0.0,0.0,2.0,2.0,1.0,23.14,1.48,2,스트레일리,로켓
2021-04-22,삼성,SSG,6,11,5,11.0,4.0,0.0,0.0,8.0,0.0,3.0,7.0,5.0,1.0,2.0,13.0,0.0,1.0,20.38,15.33,2,라이블리,오원석
2021-04-22,한화,키움,3,8,5,7.0,5.0,1.0,0.0,2.0,1.0,1.0,11.0,6.0,1.0,2.0,3.0,0.0,2.0,24.61,20.330000000000002,2,장시환,한현희
2021-04-23,한화,LG,1,2,1,4.0,5.0,0.0,0.0,15.0,1.0,1.0,9.0,7.0,1.0,1.0,6.0,2.0,1.0,15.440000000000001,8.79,2,카펜터,수아레즈
2021-04-23,KT,롯데,5,10,5,12.0,6.0,0.0,2.0,7.0,0.0,0.0,11.0,4.0,3.0,0.0,3.0,3.0,1.0,16.07,27.71,2,이정현,프랑코
2021-04-23,두산,NC,5,1,4,11.0,5.0,1.0,0.0,6.0,0.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,1.0,4.43,17.130000000000003,1,최원준,송명기
2021-04-23,키움,SSG,5,9,4,10.0,3.0,0.0,2.0,5.0,0.0,1.0,11.0,8.0,0.0,2.0,3.0,1.0,1.0,28.729999999999997,10.25,2,안우진,박종훈
2021-04-23,KIA,삼성,4,1,3,9.0,1.0,0.0,0.0,5.0,1.0,0.0,5.0,2.0,0.0,0.0,12.0,1.0,2.0,30.95,8.06,1,멩덴,백정현
2021-04-24,한화,LG,19,5,14,18.0,10.0,2.0,2.0,7.0,1.0,1.0,10.0,8.0,0.0,0.0,5.0,1.0,2.0,18.81,52.67,1,김이환,임찬규
2021-04-24,키움,SSG,4,5,1,10.0,4.0,1.0,1.0,10.0,1.0,0.0,11.0,3.0,2.0,2.0,5.0,1.0,0.0,27.48,11.33,2,최원태,폰트
2021-04-24,KT,롯데,2,4,2,7.0,1.0,1.0,1.0,4.0,0.0,1.0,15.0,2.0,0.0,1.0,4.0,2.0,0.0,18.24,8.84,2,고영표,박세웅
2021-04-24,두산,NC,9,6,3,14.0,4.0,2.0,0.0,2.0,0.0,1.0,12.0,4.0,0.0,0.0,11.0,0.0,1.0,5.93,24.14,1,미란다,강동연
2021-04-24,KIA,삼성,4,8,4,9.0,5.0,0.0,0.0,8.0,2.0,0.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0,25.0,22.21,2,이민우,원태인
2021-04-25,한화,LG,0,8,8,1.0,2.0,0.0,0.0,12.0,2.0,0.0,9.0,4.0,1.0,1.0,8.0,0.0,0.0,16.41,11.63,2,킹험,이민호
2021-04-25,KT,롯데,6,5,1,10.0,12.0,1.0,3.0,8.0,0.0,2.0,8.0,6.0,1.0,0.0,8.0,1.0,1.0,26.7,24.96,1,배제성,이승헌
2021-04-25,두산,NC,0,10,10,5.0,3.0,0.0,0.0,4.0,0.0,0.0,15.0,5.0,1.0,0.0,0.0,0.0,1.0,41.28,11.64,2,이영하,파슨스
2021-04-25,키움,SSG,4,3,1,9.0,4.0,0.0,0.0,5.0,1.0,1.0,6.0,4.0,1.0,0.0,9.0,0.0,0.0,29.84,13.290000000000001,1,김정인,문승원
2021-04-25,KIA,삼성,2,3,1,10.0,4.0,0.0,0.0,7.0,1.0,1.0,9.0,6.0,0.0,1.0,6.0,1.0,0.0,6.45,16.02,2,브룩스,이승민
2021-04-27,KIA,한화,4,3,1,6.0,2.0,0.0,0.0,7.0,0.0,0.0,6.0,6.0,0.0,2.0,6.0,1.0,2.0,30.810000000000002,8.75,1,임기영,김민우
2021-04-27,SSG,KT,5,14,9,8.0,1.0,1.0,0.0,10.0,0.0,1.0,18.0,11.0,1.0,2.0,8.0,1.0,1.0,64.92999999999999,12.4,2,정수민,데스파이네
2021-04-27,LG,롯데,4,0,4,8.0,3.0,2.0,0.0,5.0,0.0,0.0,4.0,6.0,0.0,2.0,10.0,0.0,0.0,9.73,28.69,1,정찬헌,노경은
2021-04-27,삼성,NC,9,0,9,14.0,2.0,3.0,0.0,5.0,2.0,1.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,24.98,13.78,1,뷰캐넌,김영규
2021-04-27,키움,두산,5,4,1,10.0,4.0,0.0,0.0,3.0,2.0,1.0,12.0,8.0,0.0,0.0,4.0,1.0,0.0,18.11,16.21,1,요키시,유희관
2021-04-28,KIA,한화,4,0,4,5.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0,1.0,2.0,11.5,11.08,1,이의리,장시환
2021-04-28,SSG,KT,4,2,2,7.0,7.0,0.0,0.0,3.0,0.0,0.0,6.0,4.0,1.0,1.0,13.0,1.0,1.0,13.05,22.34,1,오원석,쿠에바스
2021-04-28,LG,롯데,0,3,3,2.0,2.0,0.0,0.0,14.0,0.0,0.0,7.0,2.0,1.0,1.0,6.0,0.0,1.0,33.41,8.81,2,켈리,스트레일리
2021-04-28,삼성,NC,4,3,1,11.0,4.0,0.0,0.0,8.0,0.0,0.0,7.0,6.0,2.0,1.0,14.0,0.0,2.0,15.65,16.86,1,라이블리,루친스키
2021-04-28,키움,두산,5,4,1,13.0,7.0,0.0,0.0,7.0,0.0,0.0,11.0,7.0,1.0,1.0,9.0,2.0,2.0,33.3,25.89,1,한현희,로켓
2021-04-29,KIA,한화,3,2,1,5.0,9.0,0.0,0.0,10.0,0.0,2.0,3.0,9.0,0.0,2.0,9.0,1.0,1.0,29.95,12.99,1,멩덴,카펜터
2021-04-29,SSG,KT,1,6,5,5.0,4.0,0.0,1.0,8.0,0.0,0.0,8.0,9.0,0.0,2.0,10.0,2.0,0.0,27.700000000000003,17.37,2,박종훈,소형준
2021-04-29,LG,롯데,3,2,1,6.0,3.0,0.0,0.0,3.0,1.0,2.0,9.0,3.0,0.0,2.0,8.0,1.0,0.0,4.83,11.2,1,수아레즈,프랑코
2021-04-29,삼성,NC,0,9,9,3.0,1.0,0.0,0.0,10.0,1.0,0.0,19.0,5.0,2.0,0.0,6.0,2.0,0.0,28.93,12.75,2,백정현,신민혁
2021-04-29,키움,두산,4,15,11,7.0,1.0,2.0,0.0,8.0,1.0,0.0,13.0,14.0,1.0,0.0,7.0,3.0,0.0,54.03,6.36,2,장재영,최원준
2021-04-30,롯데,한화,7,11,4,12.0,6.0,0.0,0.0,9.0,1.0,0.0,15.0,9.0,0.0,3.0,10.0,0.0,0.0,45.27,21.75,2,박세웅,김이환
2021-04-30,KT,KIA,15,3,12,16.0,8.0,2.0,1.0,7.0,2.0,0.0,8.0,3.0,1.0,0.0,10.0,1.0,2.0,14.32,29.26,1,고영표,김유신
2021-04-30,삼성,LG,4,0,4,7.0,8.0,2.0,1.0,8.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,10.61,35.63,1,원태인,김윤식
2021-04-30,두산,SSG,9,4,5,13.0,6.0,2.0,0.0,7.0,0.0,1.0,8.0,4.0,0.0,0.0,11.0,0.0,1.0,14.559999999999999,42.07,1,미란다,장지훈
2021-04-30,NC,키움,3,4,1,9.0,2.0,1.0,1.0,7.0,0.0,1.0,7.0,5.0,0.0,2.0,10.0,1.0,0.0,25.89,20.63,2,강동연,최원태
2021-05-01,롯데,한화,3,11,8,5.0,2.0,0.0,0.0,5.0,1.0,2.0,14.0,8.0,1.0,1.0,7.0,0.0,0.0,17.3,11.850000000000001,2,이승헌,킹험
2021-05-01,KT,KIA,3,0,3,8.0,4.0,0.0,0.0,12.0,0.0,0.0,5.0,4.0,0.0,0.0,7.0,1.0,1.0,11.08,22.01,1,배제성,브룩스
2021-05-01,삼성,LG,8,2,6,9.0,5.0,3.0,2.0,7.0,2.0,1.0,10.0,6.0,0.0,1.0,7.0,2.0,0.0,21.32,29.43,1,김윤수,이민호
2021-05-01,두산,SSG,2,5,3,7.0,4.0,0.0,0.0,9.0,2.0,3.0,10.0,9.0,3.0,0.0,15.0,0.0,1.0,12.82,21.939999999999998,2,곽빈,문승원
2021-05-01,NC,키움,9,13,4,11.0,5.0,5.0,0.0,3.0,0.0,2.0,12.0,12.0,1.0,3.0,11.0,0.0,2.0,21.42,65.01,2,파슨스,김정인
2021-05-02,롯데,한화,4,5,1,6.0,5.0,2.0,1.0,11.0,0.0,1.0,10.0,5.0,0.0,0.0,13.0,0.0,0.0,25.77,9.92,2,노경은,김민우
2021-05-02,KT,KIA,9,2,7,13.0,7.0,0.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,0.0,6.0,0.0,0.0,10.18,30.490000000000002,1,데스파이네,임기영
2021-05-02,삼성,LG,6,4,2,7.0,3.0,1.0,1.0,6.0,0.0,0.0,10.0,2.0,1.0,0.0,5.0,1.0,1.0,11.24,19.529999999999998,1,뷰캐넌,이상영
2021-05-02,두산,SSG,8,5,3,9.0,6.0,3.0,0.0,6.0,2.0,3.0,15.0,3.0,0.0,1.0,3.0,1.0,0.0,21.9,42.77,1,유희관,김정빈
2021-05-02,NC,키움,5,0,5,10.0,3.0,4.0,1.0,5.0,2.0,0.0,6.0,6.0,0.0,0.0,7.0,1.0,2.0,17.439999999999998,8.33,1,박정수,요키시
2021-05-05,롯데,KIA,5,8,3,12.0,2.0,1.0,2.0,8.0,1.0,1.0,15.0,2.0,0.0,0.0,5.0,1.0,0.0,41.93,12.9,2,스트레일리,멩덴
2021-05-05,키움,KT,14,0,14,18.0,4.0,3.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,15.0,0.0,1.0,23.96,30.47,1,안우진,쿠에바스
2021-05-05,두산,LG,4,7,3,9.0,6.0,0.0,0.0,8.0,1.0,0.0,14.0,4.0,1.0,1.0,4.0,1.0,1.0,7.63,12.05,2,로켓,켈리
2021-05-05,NC,SSG,12,13,1,13.0,7.0,4.0,0.0,11.0,1.0,2.0,14.0,10.0,3.0,0.0,9.0,2.0,2.0,21.0,41.269999999999996,2,루친스키,오원석
2021-05-05,한화,삼성,1,4,3,4.0,5.0,0.0,0.0,13.0,0.0,1.0,9.0,4.0,0.0,0.0,9.0,0.0,1.0,10.31,22.42,2,카펜터,라이블리
